position,bga_03,bga_04,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
2,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
106,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
188,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
248,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
308,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
368,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
428,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
488,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
548,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
608,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
668,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
728,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
788,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
848,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
908,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
968,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
1028,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
1088,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
1148,0.6515,0.6515,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,-0.5224,0
