position,BGA_05,BGA_06,BGA_07,BGA_08,BGA_09,BGA_10,BGA_11,BGA_12,BGA_13,BGA_14,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_00
2,0.248,0.248,0.4832,0.4832,-0.9681,-0.9681,0.7006,0.7006,0.1073,0.1073,-1.4921,-1.4921,0.0457,0.0457,0.5997,0.5997,0.3421,0.3421,0.1664,0.1664,0.0838,0.0838,0.0454,0.0454,0.0262,0.0262,0
4,0.2565,0.2565,0.5263,0.5262,-0.971,-0.9718,0.6377,0.6401,0.2032,0.2019,-1.4918,-1.493,-0.0203,-0.0188,0.6198,0.6215,0.3634,0.364,0.1789,0.1791,0.0915,0.0912,0.05,0.0502,0.029,0.0291,0
6.1,0.2653,0.2647,0.5712,0.5701,-0.9744,-0.9754,0.5768,0.5804,0.2946,0.296,-1.4908,-1.4936,-0.0839,-0.0829,0.6392,0.6409,0.3836,0.384,0.1904,0.1907,0.0978,0.0979,0.0544,0.0545,0.0314,0.0317,0
8.2,0.2748,0.275,0.6165,0.616,-0.9783,-0.9791,0.5188,0.5212,0.384,0.3852,-1.4909,-1.4913,-0.1453,-0.147,0.6567,0.6577,0.403,0.4031,0.2014,0.2012,0.1041,0.1047,0.0574,0.058,0.0338,0.0344,0
10.2,0.2861,0.2864,0.6633,0.6637,-0.9833,-0.9836,0.4631,0.4636,0.4714,0.4685,-1.4901,-1.4864,-0.2089,-0.2125,0.6742,0.6749,0.4225,0.4223,0.2126,0.2122,0.1101,0.1109,0.0604,0.062,0.0352,0.0366,0
12.3,0.3011,0.2995,0.7141,0.713,-0.9916,-0.9903,0.41,0.4085,0.5534,0.5476,-1.4848,-1.4798,-0.276,-0.2777,0.6923,0.6915,0.4415,0.441,0.2236,0.2223,0.1153,0.1151,0.0642,0.0659,0.0367,0.038,0
14.3,0.3197,0.3171,0.7681,0.7647,-1.0028,-1.0008,0.3582,0.3562,0.63,0.6246,-1.4751,-1.4728,-0.3426,-0.3404,0.7066,0.7053,0.4587,0.4581,0.2342,0.2299,0.1213,0.1193,0.0672,0.0692,0.0394,0.0401,0
16.4,0.3406,0.338,0.8246,0.8207,-1.0158,-1.0146,0.3065,0.3066,0.7038,0.6991,-1.4641,-1.4644,-0.4064,-0.4021,0.7167,0.7164,0.4741,0.4739,0.244,0.2386,0.1268,0.1249,0.0691,0.0727,0.0429,0.0428,0
18.4,0.3647,0.363,0.8851,0.8836,-1.0331,-1.0329,0.2572,0.258,0.7735,0.7702,-1.4518,-1.4511,-0.4675,-0.4661,0.7255,0.725,0.4888,0.4893,0.2515,0.2489,0.1302,0.1299,0.0709,0.0744,0.045,0.0436,0
20.4,0.394,0.3933,0.9543,0.955,-1.058,-1.0584,0.2104,0.2111,0.8367,0.8364,-1.4328,-1.4322,-0.5291,-0.5301,0.7319,0.7324,0.5029,0.5032,0.2574,0.2571,0.1328,0.133,0.073,0.0744,0.0445,0.0434,0
22.5,0.4294,0.4275,1.0341,1.0332,-1.0897,-1.0901,0.1648,0.1659,0.8944,0.8965,-1.4061,-1.4083,-0.5937,-0.5932,0.7366,0.7384,0.516,0.5156,0.2644,0.2641,0.1354,0.135,0.0755,0.0754,0.044,0.0444,0
24.6,0.4706,0.4673,1.1213,1.1191,-1.1266,-1.1259,0.12,0.1199,0.9498,0.9505,-1.3762,-1.3791,-0.6574,-0.6565,0.7376,0.7432,0.5274,0.5279,0.2713,0.2707,0.1373,0.1389,0.0795,0.0772,0.0443,0.0472,0
26.6,0.5172,0.5148,1.2084,1.2146,-1.1669,-1.1635,0.077,0.0703,1.0031,0.9996,-1.3453,-1.3437,-0.718,-0.7183,0.7366,0.7414,0.537,0.5375,0.2775,0.2781,0.1396,0.1464,0.0862,0.0829,0.0483,0.0505,0
28.6,0.5697,0.5669,1.2978,1.3102,-1.2046,-1.2011,0.0302,0.0214,1.0515,1.048,-1.3108,-1.3061,-0.7787,-0.7797,0.7366,0.736,0.5463,0.5437,0.286,0.2864,0.1449,0.1505,0.0917,0.0903,0.0549,0.0517,0
30.7,0.6259,0.6226,1.3989,1.4002,-1.2399,-1.2396,-0.0231,-0.0237,1.0966,1.0946,-1.2684,-1.2699,-0.8401,-0.8369,0.7334,0.734,0.555,0.5511,0.2897,0.2888,0.1491,0.1476,0.089,0.0889,0.0574,0.0518,0
32.8,0.6818,0.6805,1.5024,1.496,-1.2747,-1.2767,-0.0759,-0.0712,1.1389,1.1383,-1.2217,-1.2317,-0.8989,-0.8889,0.7292,0.731,0.559,0.5593,0.285,0.2851,0.1472,0.1455,0.082,0.082,0.0552,0.0548,0
34.8,0.738,0.7371,1.5962,1.5955,-1.3042,-1.3066,-0.1276,-0.124,1.1857,1.1843,-1.1845,-1.1927,-0.9475,-0.9407,0.7235,0.7275,0.5574,0.5614,0.2792,0.2819,0.1443,0.1425,0.0792,0.0743,0.0495,0.0568,0
36.9,0.7917,0.7905,1.6819,1.6814,-1.3232,-1.3243,-0.1819,-0.1796,1.2423,1.2347,-1.1597,-1.1582,-0.9831,-0.9849,0.7131,0.7208,0.5534,0.556,0.2735,0.2767,0.1399,0.1349,0.0752,0.0667,0.0433,0.0487,0
38.9,0.8409,0.841,1.7532,1.7506,-1.3287,-1.3287,-0.2384,-0.2372,1.3014,1.2934,-1.1381,-1.1329,-1.015,-1.0192,0.7037,0.7089,0.5471,0.5479,0.2657,0.2659,0.1292,0.1271,0.0668,0.0627,0.0368,0.0369,0
41,0.8863,0.8876,1.8055,1.8069,-1.3213,-1.3207,-0.2966,-0.2972,1.3656,1.3633,-1.1213,-1.1194,-1.0452,-1.0468,0.6958,0.6977,0.5373,0.5372,0.2532,0.2522,0.1171,0.1179,0.0583,0.0578,0.031,0.0307,0
43,0.9233,0.9239,1.839,1.8411,-1.2975,-1.2974,-0.3577,-0.3585,1.4423,1.4436,-1.1164,-1.1159,-1.0661,-1.0668,0.6867,0.6861,0.5216,0.5222,0.2362,0.236,0.1055,0.1054,0.0495,0.0493,0.0253,0.0254,0
45,0.9498,0.9487,1.8489,1.8478,-1.2551,-1.2563,-0.4216,-0.4206,1.5316,1.5332,-1.1231,-1.1203,-1.0784,-1.081,0.678,0.675,0.5001,0.503,0.2166,0.2167,0.0916,0.0912,0.0393,0.0388,0.0185,0.0184,0
47.1,0.9663,0.9636,1.8351,1.8317,-1.1976,-1.1993,-0.4867,-0.4846,1.6311,1.6294,-1.1364,-1.1311,-1.0852,-1.0884,0.6683,0.664,0.4765,0.4794,0.1947,0.195,0.076,0.076,0.0287,0.0277,0.0113,0.011,0
49.1,0.9708,0.9683,1.7986,1.797,-1.1266,-1.1288,-0.5522,-0.55,1.7339,1.732,-1.1513,-1.1466,-1.0871,-1.0889,0.6559,0.6506,0.4529,0.4541,0.1722,0.1718,0.0603,0.0606,0.018,0.0173,0.0038,0.0036,0
51.2,0.9627,0.9635,1.7404,1.7421,-1.043,-1.0447,-0.6172,-0.617,1.8342,1.841,-1.1637,-1.1635,-1.0868,-1.0893,0.6418,0.6414,0.4274,0.4283,0.1502,0.1482,0.0454,0.0452,0.0076,0.0064,-0.004,-0.0033,0
53.3,0.9457,0.9486,1.6673,1.6666,-0.9502,-0.9485,-0.6818,-0.6843,1.9347,1.9446,-1.1731,-1.1741,-1.0875,-1.0915,0.6298,0.6335,0.4024,0.4027,0.128,0.1264,0.0305,0.03,-0.0024,-0.0049,-0.0112,-0.0104,0
55.3,0.9227,0.9223,1.5795,1.5787,-0.8485,-0.8454,-0.7466,-0.7493,2.0311,2.0349,-1.1755,-1.1746,-1.0908,-1.0932,0.6173,0.619,0.3831,0.3822,0.1085,0.1088,0.0175,0.0177,-0.0106,-0.0137,-0.0164,-0.0166,0
57.4,0.8909,0.8874,1.4773,1.4818,-0.7369,-0.7383,-0.8103,-0.8102,2.1107,2.113,-1.1636,-1.1643,-1.0956,-1.0978,0.5986,0.6029,0.3686,0.3678,0.0951,0.0958,0.0086,0.0088,-0.0177,-0.0199,-0.0207,-0.0202,0
59.4,0.8496,0.8483,1.3712,1.3747,-0.6218,-0.6267,-0.8701,-0.8673,2.1703,2.1706,-1.135,-1.137,-1.1051,-1.107,0.5788,0.5854,0.3588,0.3579,0.086,0.0868,0.0024,0.002,-0.0246,-0.0242,-0.0241,-0.0224,0
61.5,0.802,0.802,1.2624,1.2612,-0.5069,-0.5095,-0.923,-0.9206,2.2071,2.2028,-1.0896,-1.0899,-1.1206,-1.1208,0.5595,0.5625,0.3552,0.3547,0.0818,0.0826,-0.0014,-0.0015,-0.0275,-0.0262,-0.0258,-0.0246,0
63.5,0.748,0.7491,1.1507,1.1487,-0.3919,-0.3916,-0.9674,-0.967,2.212,2.2095,-1.0233,-1.0227,-1.1429,-1.1428,0.5367,0.5367,0.3585,0.359,0.0845,0.0852,-0.0011,-0.0007,-0.0258,-0.0256,-0.0254,-0.0249,0
65.5,0.6903,0.6929,1.0407,1.0391,-0.2777,-0.2785,-1.0025,-1.0025,2.1821,2.1845,-0.9345,-0.9337,-1.1734,-1.1737,0.5097,0.5077,0.3705,0.3707,0.0934,0.0952,0.0044,0.0047,-0.0206,-0.0211,-0.0224,-0.0216,0
67.6,0.631,0.6326,0.9328,0.9324,-0.1664,-0.1696,-1.0276,-1.0265,2.1234,2.1259,-0.827,-0.8248,-1.2105,-1.2121,0.4777,0.4764,0.3893,0.3881,0.1091,0.1112,0.0152,0.0151,-0.0134,-0.0145,-0.0179,-0.0171,0
69.7,0.5684,0.569,0.8284,0.8276,-0.0588,-0.0639,-1.0432,-1.0408,2.0419,2.0415,-0.7039,-0.703,-1.2555,-1.2547,0.4443,0.4421,0.4121,0.4098,0.1313,0.1326,0.0281,0.0281,-0.0063,-0.0077,-0.0136,-0.0127,0
71.7,0.5046,0.5051,0.729,0.7276,0.0424,0.0383,-1.05,-1.0477,1.9405,1.9399,-0.5698,-0.5737,-1.3048,-1.2985,0.409,0.4024,0.4379,0.4369,0.1562,0.1573,0.0417,0.0426,0.0028,0.002,-0.0084,-0.0075,0
73.8,0.4412,0.4438,0.6365,0.6385,0.1353,0.1347,-1.0493,-1.0483,1.8255,1.8223,-0.431,-0.4369,-1.3524,-1.345,0.3664,0.3615,0.4663,0.4667,0.1833,0.1838,0.0577,0.0592,0.015,0.0124,-0.0014,-0.002,0
75.8,0.3818,0.3873,0.5526,0.5566,0.224,0.221,-1.0439,-1.0418,1.6997,1.6939,-0.2903,-0.2939,-1.4003,-1.3951,0.3203,0.3172,0.4968,0.4978,0.2129,0.214,0.0758,0.0774,0.0276,0.0234,0.0066,0.0057,0
77.8,0.3299,0.3332,0.4778,0.4803,0.305,0.3018,-1.0336,-1.032,1.565,1.5627,-0.1486,-0.1501,-1.4489,-1.4453,0.2722,0.2671,0.5288,0.5314,0.2434,0.246,0.0947,0.0969,0.0389,0.0374,0.0157,0.0151,0
79.9,0.2819,0.282,0.4122,0.4131,0.3784,0.3801,-1.0216,-1.0223,1.4305,1.432,-0.0082,-0.0123,-1.4937,-1.4893,0.219,0.2149,0.5619,0.563,0.2738,0.2755,0.114,0.1157,0.0501,0.0507,0.024,0.023,0
82,0.238,0.238,0.3563,0.3561,0.4503,0.4517,-1.0127,-1.0134,1.3019,1.3037,0.1255,0.1209,-1.5313,-1.5274,0.1626,0.1605,0.5923,0.5917,0.3034,0.304,0.1336,0.1341,0.0616,0.0618,0.0302,0.0298,0
84,0.2014,0.2013,0.3106,0.3102,0.5206,0.5182,-1.0083,-1.0073,1.1798,1.1793,0.2508,0.2504,-1.562,-1.561,0.1026,0.1017,0.6203,0.6197,0.3329,0.3331,0.1526,0.1532,0.073,0.0733,0.0367,0.0373,0
86,0.1721,0.1724,0.2758,0.2757,0.5872,0.5844,-1.008,-1.007,1.0628,1.0618,0.3707,0.3724,-1.5873,-1.587,0.0394,0.0381,0.6475,0.6458,0.362,0.3621,0.1708,0.1731,0.0852,0.085,0.0434,0.0453,0
88.1,0.1504,0.1509,0.2521,0.2526,0.65,0.6497,-1.0103,-1.0115,0.947,0.9505,0.4829,0.486,-1.6016,-1.6013,-0.0275,-0.031,0.6719,0.67,0.3903,0.3893,0.1893,0.1917,0.0972,0.0968,0.0508,0.053,0
90.2,0.1364,0.1344,0.2417,0.2403,0.7107,0.7106,-1.015,-1.0169,0.8331,0.8395,0.5876,0.5907,-1.6025,-1.6035,-0.1011,-0.1026,0.6934,0.6906,0.4186,0.415,0.209,0.2093,0.1107,0.1081,0.0591,0.0624,0
92.2,0.1289,0.1257,0.2392,0.2365,0.7721,0.7717,-1.0243,-1.0257,0.7229,0.7289,0.6894,0.6898,-1.598,-1.6008,-0.1793,-0.1736,0.7152,0.7074,0.4463,0.4424,0.2276,0.2267,0.1219,0.1177,0.0669,0.0705,0
94.3,0.1253,0.1234,0.2358,0.2392,0.8371,0.8342,-1.0364,-1.0377,0.6142,0.6213,0.7862,0.7834,-1.5883,-1.5917,-0.2595,-0.2499,0.7384,0.7273,0.4719,0.471,0.2428,0.2415,0.1277,0.1289,0.0725,0.0728,0
96.3,0.1251,0.1246,0.2403,0.2457,0.8974,0.897,-1.0459,-1.0485,0.5042,0.5127,0.8733,0.8701,-1.5677,-1.5702,-0.3395,-0.3334,0.7558,0.75,0.496,0.4971,0.2567,0.2568,0.1354,0.141,0.0755,0.0754,0
98.3,0.1294,0.1307,0.2568,0.2574,0.9515,0.9568,-1.0527,-1.0566,0.3926,0.4,0.9532,0.9524,-1.5394,-1.5403,-0.4175,-0.4178,0.7679,0.7684,0.5189,0.5222,0.2708,0.2705,0.1446,0.1488,0.0803,0.0806,0
100.4,0.1366,0.1383,0.2746,0.2735,1.0063,1.0101,-1.0576,-1.0595,0.2813,0.2846,1.0286,1.0273,-1.5044,-1.5043,-0.5003,-0.501,0.783,0.784,0.5418,0.5463,0.2844,0.2818,0.1516,0.1527,0.0855,0.0848,0
102.5,0.1464,0.1473,0.2901,0.2893,1.0593,1.0615,-1.0591,-1.0591,0.1707,0.1701,1.0945,1.0923,-1.459,-1.4592,-0.5875,-0.5858,0.7994,0.7995,0.5654,0.5667,0.2963,0.2947,0.1562,0.1563,0.0877,0.0879,0
104.5,0.1602,0.1599,0.3073,0.3072,1.1105,1.1126,-1.0589,-1.0579,0.0595,0.0562,1.1516,1.1508,-1.4048,-1.405,-0.6747,-0.6734,0.8126,0.8128,0.5874,0.5873,0.3067,0.3063,0.1602,0.1606,0.0898,0.0902,0
106.6,0.1767,0.1743,0.3255,0.3264,1.1589,1.1613,-1.0547,-1.0528,-0.0556,-0.0611,1.2067,1.2067,-1.3445,-1.3449,-0.7642,-0.7637,0.8215,0.8238,0.6079,0.6091,0.3169,0.3165,0.1647,0.1649,0.0922,0.0922,0
108.6,0.1914,0.188,0.3431,0.3445,1.2042,1.2072,-1.0436,-1.0428,-0.1787,-0.1822,1.2613,1.2621,-1.2784,-1.2789,-0.8551,-0.8559,0.8275,0.8309,0.6266,0.6279,0.3254,0.3255,0.1676,0.1677,0.0935,0.093,0
110.7,0.2026,0.2007,0.36,0.361,1.2495,1.2506,-1.0288,-1.0282,-0.3053,-0.3076,1.3135,1.3157,-1.2063,-1.207,-0.9446,-0.9455,0.8309,0.8326,0.6414,0.6427,0.3307,0.3319,0.1684,0.1694,0.0933,0.0918,0
112.7,0.214,0.2134,0.3739,0.3734,1.2911,1.2897,-1.0094,-1.0078,-0.4328,-0.436,1.3637,1.3661,-1.1319,-1.1342,-1.0314,-1.0308,0.83,0.8323,0.654,0.6551,0.3346,0.3363,0.168,0.1699,0.0932,0.091,0
114.8,0.227,0.2263,0.3859,0.3838,1.3257,1.3224,-0.9835,-0.9825,-0.5621,-0.5629,1.4113,1.4128,-1.0603,-1.0629,-1.113,-1.1115,0.8276,0.8294,0.6657,0.6661,0.339,0.339,0.1678,0.169,0.0938,0.0909,0
116.8,0.2388,0.2385,0.3969,0.3951,1.3543,1.3513,-0.954,-0.9539,-0.6893,-0.6888,1.4555,1.4563,-0.9944,-0.9944,-1.1846,-1.1838,0.8255,0.8231,0.6744,0.6744,0.342,0.3405,0.1683,0.1685,0.0915,0.0903,0
118.8,0.2479,0.2491,0.4046,0.4041,1.3765,1.3759,-0.9211,-0.9214,-0.8128,-0.8122,1.498,1.4979,-0.9369,-0.9349,-1.2455,-1.2461,0.8229,0.8191,0.6804,0.6812,0.3422,0.3414,0.168,0.1678,0.0882,0.0885,0
120.9,0.2548,0.2564,0.4093,0.4094,1.3908,1.3912,-0.8834,-0.884,-0.9307,-0.9297,1.5384,1.5379,-0.8906,-0.8894,-1.2949,-1.2956,0.8205,0.8193,0.6854,0.6864,0.3416,0.3418,0.1664,0.1662,0.0866,0.0868,0
